architecture_layers,condition,seed,ood_accuracy_mean,measured_layer,scope,component,head,family,diagram_count,vertices_per_diagram,edges_per_diagram,loops_per_diagram,path_pairs_per_diagram,mean_loop_length,semantic_accuracy,prediction_consistency,identity_error,transport_error,holonomy_error,holonomy_systematic_error,holonomy_dispersion_error,holonomy_rotation_error,holonomy_linear_action_error,holonomy_edge_accumulation_ratio,path_agreement_error,path_endpoint_error,edge_cka,activation_variance
2,higher_diversity,0,0.664,1,cls,value,all,exact1_hexagon,96,6,6,1,0,6.0,nan,nan,0.0,0.0,0.0,0.0,0.0,1.9864196443849391,2.1100606925603493,0.0,nan,nan,1.0,1.021075324986187e-11
2,higher_diversity,0,0.664,1,cls,value,all,ite_expansion,96,2,2,1,0,2.0,nan,nan,0.0,0.0,0.0,0.0,0.0,1.84885143996224,4.107569734521065e-14,0.0,nan,nan,1.0,1e-12
2,higher_diversity,0,0.664,1,cls,value,all,majority_duality,96,2,2,1,0,2.0,nan,nan,0.0,0.0,0.0,0.0,0.0,1.84885143996224,4.107569734521065e-14,0.0,nan,nan,1.0,1e-12
2,higher_diversity,0,0.664,1,cls,value,all,nary_and_hexagon,96,6,6,1,0,6.0,nan,nan,0.0,0.0,0.0,0.0,0.0,1.9864196443849391,2.1100606925603493,0.0,nan,nan,1.0,1.021075324986187e-11
2,higher_diversity,0,0.664,1,token_mean,value,all,associativity_pentagon,96,5,8,1,1,5.0,nan,nan,0.002287460956596243,0.0027868154809610342,0.0042793327631477345,0.00026711204554885626,0.004012220539152622,1.0980348395014092,0.004075618899917133,0.33111819020042355,0.0009713105145689218,0.006240113401232744,0.9989034533500671,0.013865800574421883
2,higher_diversity,0,0.664,1,token_mean,value,all,commutativity_cube,96,8,24,6,5,4.0,nan,nan,0.0027551023828946255,0.003091827704562373,0.0027274812647203883,0.00010827346704900265,0.002619207836687565,0.900008530470967,0.0025892254071631033,0.23925466704722265,0.00011043344957245312,0.009395968001386527,0.9982499480247498,0.009444227442145348
2,higher_diversity,0,0.664,1,token_mean,value,all,commutativity_involution,96,2,2,1,0,2.0,nan,nan,0.006544242068883953,0.006910092985152624,0.0019479474189242384,0.00015610807167831808,0.0017918392550200224,1.1380907091698356,0.0017923089977029925,0.17318184611097845,nan,nan,0.9963139891624451,0.02436770498752594
2,higher_diversity,0,0.664,1,token_mean,value,all,demorgan_and_square,96,4,4,1,0,4.0,nan,nan,0.1272832664661315,0.016980275440546484,0.006770034676734913,0.00034436487476341426,0.006425670348107815,1.3618943010817703,0.007076424305905804,0.10293411647858923,nan,nan,0.9337638020515442,0.023458046838641167
2,higher_diversity,0,0.664,1,token_mean,value,all,demorgan_or_square,96,4,4,1,0,4.0,nan,nan,0.09488394108156815,0.016788167085121042,0.006335125381729637,0.0005513735231943429,0.0057837520726025105,1.3572424783630004,0.006376551615310798,0.09825637645536556,nan,nan,0.9660111665725708,0.02366047166287899
2,higher_diversity,0,0.664,1,token_mean,value,all,distributivity_diamond,96,4,5,2,1,3.0,nan,nan,0.17164464336408883,0.10705401147597722,0.04424297032306173,0.001419791835360229,0.0428231805562973,1.5554437186895955,0.04439040654603214,0.12381624633133974,0.05345219893446982,0.17525163125067433,0.9010716080665588,0.0195366982370615
2,higher_diversity,0,0.664,1,token_mean,value,all,double_negation,96,2,2,1,0,2.0,nan,nan,0.6068443164766394,0.05727314229111971,0.00667566619960275,0.0003819492121692747,0.006293716840445995,1.3830717729064352,0.007586436792501716,0.06266420725430136,nan,nan,0.8067095875740051,0.029456928372383118
2,higher_diversity,0,0.664,1,token_mean,value,all,exact1_hexagon,96,6,6,1,0,6.0,nan,nan,0.0044661914998503005,0.005325186614118119,0.008802475958613052,0.00047892509610392153,0.008323551155626774,1.272035656796122,0.008327368822718213,0.274819080985419,nan,nan,0.997252345085144,0.01932554505765438
