architecture_layers,condition,measured_layer,scope,component,head,models,identity_error_mean,identity_error_std,transport_error_mean,transport_error_std,holonomy_error_mean,holonomy_error_std,holonomy_rotation_error_mean,holonomy_rotation_error_std,holonomy_linear_action_error_mean,holonomy_linear_action_error_std,holonomy_systematic_error_mean,holonomy_systematic_error_std,holonomy_dispersion_error_mean,holonomy_dispersion_error_std,holonomy_edge_accumulation_ratio_mean,holonomy_edge_accumulation_ratio_std,path_agreement_error_mean,path_agreement_error_std,path_endpoint_error_mean,path_endpoint_error_std,activation_variance_mean,activation_variance_std,edge_improvement_over_identity_mean,edge_improvement_over_identity_std,supported_models
2,low_diversity,2,token_mean,key,all,3,0.18653901535218217,0.004573338887194274,0.05886224036362812,0.00307998519346708,0.03443685423091356,0.0029091213757590894,1.2780223413097476,0.016058033618984998,0.03482455199400564,0.002881609211566427,0.001435041886659085,0.00012011798821287422,0.03300181259824471,0.00283638750499437,0.2539171802869822,0.0011420005816176312,0.03172066111219909,0.0012145298991375455,0.09101688996491608,0.0035326378954545017,0.012749269576461025,0.0003760377353622327,0.6841737679145087,0.02199852986244947,3
2,low_diversity,2,token_mean,query,all,3,0.1949833929732501,0.008728420676990551,0.0618881743992817,0.00519360972368836,0.038855390318915654,0.00576784966818985,1.2771942453401646,0.018412288808072143,0.03949656581202846,0.005741241453367745,0.001558608812488136,0.00020809742353588027,0.03729678221950025,0.005588769121685225,0.2649814076478858,0.008397729510813395,0.03431056518917869,0.0039002436249369918,0.09502887939732058,0.007968132485681416,0.01115713794856812,0.0004270665593862452,0.6829266928643113,0.014131056984621715,3
2,low_diversity,2,token_mean,value,all,3,0.17684226139640039,0.008907865115689612,0.05801955635817411,0.0060985823431668265,0.03290143031903502,0.004730126192695455,1.2753860322868473,0.014230873133094233,0.033183663605381504,0.00470772165452809,0.0014613161880388914,0.00013312059940835693,0.03144011378401157,0.004614648722442355,0.24912327327690723,0.0027403033723685487,0.02861441124080698,0.0015889462311002413,0.08720103165907965,0.006355306975970299,0.01276149777131099,0.0005871886230182223,0.6707616854250488,0.04632419655154196,3
4,higher_diversity,1,cls,key,all,3,0.0,0.0,0.0,0.0,0.0,0.0,1.9241928320761053,0.020360420291454157,1.1899838921411554,0.08208081245366719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.65094072776787e-12,1.0295599487521254e-12,nan,0.0,0
4,higher_diversity,1,cls,query,all,3,0.0,0.0,0.0,0.0,0.0,0.0,1.9126889695816962,0.02260642200417508,1.250516971987145,0.0689585642131506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.426612267606802e-11,6.455059231139403e-12,nan,0.0,0
4,higher_diversity,1,cls,value,all,3,0.0,0.0,0.0,0.0,0.0,0.0,1.922773132443635,0.021555589762907914,1.1554159346142618,0.057418782419015706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.547364038938607e-12,1.8142038078518543e-12,nan,0.0,0
4,higher_diversity,1,token_mean,key,all,3,0.15968465008267332,0.017635128679325353,0.042423411992939454,0.0007019738707189998,0.015510361228899922,0.0001250434551561232,1.271698306224776,0.0038617418337464336,0.015693067971244312,7.899934475916777e-05,0.0007467024732966711,5.113182982346403e-05,0.01476365881689796,0.00013355886725839315,0.1733313384564593,0.007056687116067543,0.019362955053063926,0.00046628371161363375,0.06680579895210305,0.002173087305044271,0.019018379350503285,0.0004264315579276076,0.7320359634588905,0.03131844494225814,3
4,higher_diversity,1,token_mean,query,all,3,0.1909663612633187,0.014698370430655451,0.042930456989405764,0.0011010648482793252,0.016161771311990893,0.0013036623138325829,1.2734753602668731,0.004187587397364004,0.016530292567300823,0.001424435399652905,0.0007868174809228741,2.185441275528362e-05,0.01537495359044635,0.0013074228133066908,0.17543788951748737,0.007950254644751523,0.02067338424391582,0.0017155950219463945,0.06962521289430489,0.003896550662740237,0.017384266988797623,0.0014346760224439616,0.774555148565323,0.012642407508863217,3
4,higher_diversity,1,token_mean,value,all,3,0.1616637941528454,0.01002725878336577,0.04202984326561296,0.0009188667392490307,0.015923675476425894,0.0006959037861522051,1.2716254136440317,0.0011256956543605036,0.016079175398851217,0.0006722367661453652,0.0007338360056482171,1.2553363087117626e-05,0.015189839407067857,0.0007045218555007444,0.17463379725886663,0.01116454430515289,0.020250143832722476,0.0009082020780048719,0.06647455437130077,0.00038142252903076724,0.017820973090375915,0.0013016893298400712,0.7395243449196772,0.012706412109975316,3
4,higher_diversity,2,cls,key,all,3,0.9614315745353093,0.2961560287568176,0.817570880632622,0.23767889540029716,0.6877196719954242,0.29039082799530774,1.7004772012366571,0.0219015099761841,0.7165199428268724,0.3151261095689383,0.028170158903142718,0.009570458825851549,0.6595495054216096,0.2813007971313875,0.2843456804991434,0.032351868155742994,0.3834421867774284,0.13567250240880543,0.9905362054060665,0.33532228894868515,0.13247459201198636,0.030932089970535665,0.14368937318494857,0.06071065581128271,3
