architecture_layers,condition,seed,measured_layer,scope,component,head,ood_accuracy_mean,identity_error,transport_error,holonomy_error,holonomy_rotation_error,holonomy_linear_action_error,holonomy_systematic_error,holonomy_dispersion_error,holonomy_edge_accumulation_ratio,path_agreement_error,path_endpoint_error,activation_variance,edge_improvement_over_identity,supported
2,higher_diversity,1,2,token_mean,value,all,0.6705000000000001,0.22674204053061767,0.12831667595377802,0.06633492378287358,1.373494683781685,0.06638439261944323,0.0028693269546651704,0.06346559710800648,0.20344313239337328,0.04164760575319676,0.1496301760026225,0.027813252569599586,0.4340852024904882,True
2,higher_diversity,2,1,cls,query,all,0.652,0.0,0.0,0.0,1.9403102248962005,1.2434394811255927,0.0,0.0,0.0,0.0,0.0,2.474511725575839e-11,nan,False
2,higher_diversity,2,1,token_mean,query,all,0.652,0.23350318866285924,0.04468177655395799,0.017923641637746426,1.2682430919179482,0.018614518906184378,0.0007903810454246758,0.0171332608866082,0.1868923731773066,0.022952974303475104,0.0717783445523893,0.016563552516427906,0.8086459683491893,True
2,higher_diversity,2,1,cls,key,all,0.652,0.0,0.0,0.0,1.9562149177911896,1.2621352792294238,0.0,0.0,0.0,0.0,0.0,7.214536575473783e-12,nan,False
2,higher_diversity,2,1,token_mean,key,all,0.652,0.17488041326351847,0.042417970542060875,0.015768771477870498,1.2769840895261086,0.015800056054810285,0.000699247940660412,0.015069523614577272,0.17567303782259164,0.019807732045911932,0.06730079488038322,0.018994803963737053,0.7574458468476777,True
2,higher_diversity,2,1,cls,value,all,0.652,0.0,0.0,0.0,1.9232010017459629,1.129698339516759,0.0,0.0,0.0,0.0,0.0,7.1563145245559765e-12,nan,False
2,higher_diversity,2,1,token_mean,value,all,0.652,0.1705636676895846,0.04090169961859019,0.014317701939367038,1.2620089138782111,0.014448338604265169,0.000701332125489981,0.01361637007953091,0.1601199926321251,0.017313534122706423,0.06290244520877865,0.020696123807945034,0.7601968803049617,True
2,higher_diversity,2,2,cls,query,all,0.652,0.9348827287898942,0.6519922136357038,0.4832759143778889,1.6667146888746336,0.5377152386763562,0.029212606097148222,0.4540633112192154,0.2645261013203324,0.3180709714363432,0.7838388667129822,0.5158551660451022,0.30259465325705814,True
2,higher_diversity,2,2,token_mean,query,all,0.652,0.25128905663054696,0.1493392250996185,0.08462364763805512,1.395537062623832,0.0832360865216283,0.004561422403309156,0.0800622274929827,0.20917265580608416,0.050268928644014645,0.16183278588085873,0.029192682694305073,0.40570740683235673,True
2,higher_diversity,2,2,cls,key,all,0.652,1.0577205574360493,0.8399887075213402,0.634701613884053,1.6775225641992746,0.66961777401774,0.03947834374213761,0.5952232710339806,0.2729934234266234,0.43136236709428766,0.9735329372933251,0.2958197756247087,0.20585006917375082,True
