architecture_layers,condition,seed,ood_accuracy_mean,baseline,family,diagram_count,vertices_per_diagram,edges_per_diagram,loops_per_diagram,path_pairs_per_diagram,mean_loop_length,semantic_accuracy,prediction_consistency,identity_error,transport_error,holonomy_error,holonomy_systematic_error,holonomy_dispersion_error,holonomy_rotation_error,holonomy_linear_action_error,holonomy_edge_accumulation_ratio,path_agreement_error,path_endpoint_error,edge_cka,activation_variance
2,higher_diversity,0,0.664,fitted,nary_and_hexagon,96,6,6,1,0,6.0,0.5833333333333334,0.6666666666666666,0.842210713460168,0.9584797959800126,1.1631296215374192,0.03404877707362175,1.129080891609192,1.8956579194913272,1.1349484781643673,0.2465557553714234,nan,nan,0.4005148410797119,0.48204293847084045
2,higher_diversity,0,0.664,shuffled,associativity_pentagon,96,5,8,1,1,5.0,0.5979166666666667,0.6354166666666666,0.5110397091845367,1.6566219211327153,1.967415082401429,0.139828160405159,1.8275868892669678,1.9800479047930013,1.842297373538571,0.22467681974539744,1.4856051061431774,2.048299039732288,0.5901512503623962,0.6971271634101868
2,higher_diversity,0,0.664,shuffled,commutativity_cube,96,8,24,6,5,4.0,0.5833333333333334,0.3541666666666667,0.6087520100366032,2.3402456812544683,1.9948236631838807,0.019798412919044495,1.9750251770019531,1.9675036797939949,1.9475687339371728,0.21893648022474563,2.125723276300185,2.1005096760760615,0.4885057806968689,0.7618271708488464
2,higher_diversity,0,0.664,shuffled,commutativity_involution,96,2,2,1,0,2.0,0.6614583333333334,0.6979166666666666,1.1309818007210202,2.2196772114271197,2.074001369043284,0.03787601366639137,2.036125421524048,1.9367528841119677,2.044571839931991,0.47137621180252687,nan,nan,0.27168840169906616,0.8151443004608154
2,higher_diversity,0,0.664,shuffled,demorgan_and_square,96,4,4,1,0,4.0,0.546875,0.4791666666666667,1.647021485892588,1.1683759088035433,0.6689256526231436,0.01822362095117569,0.6507020592689514,2.0653768797424346,1.627310223088645,0.14987128875280517,nan,nan,0.023536477237939835,0.39346227049827576
2,higher_diversity,0,0.664,shuffled,demorgan_or_square,96,4,4,1,0,4.0,0.5598958333333334,0.40625,1.6041800680900327,2.445525244671548,4.927676490131233,4.281628131866455,0.6460487842559814,1.9837760043115358,1.5628041674391209,0.5277618753479872,nan,nan,0.04135240614414215,0.3700424134731293
2,higher_diversity,0,0.664,shuffled,distributivity_diamond,96,4,5,2,1,3.0,0.5651041666666666,0.3854166666666667,1.2381024391265898,1.9363882749781316,1.9551507674753168,0.0851035937666893,1.8700473308563232,1.9945368728436328,2.0438451374225104,0.38254104136134526,2.0719145917674333,1.900028687203335,0.20731154084205627,0.8367007374763489
2,higher_diversity,0,0.664,shuffled,double_negation,96,2,2,1,0,2.0,0.5364583333333334,0.40625,2.5001001258335673,1.578346048686328,2.7355315021520425,0.03761138394474983,2.697920322418213,2.0004268089699155,3.3286397113126855,0.9158421024742291,nan,nan,0.19883251190185547,0.644559383392334
2,higher_diversity,0,0.664,shuffled,exact1_hexagon,96,6,6,1,0,6.0,0.5416666666666666,0.2604166666666667,0.9678607590845846,2.0173047909896864,2.0494639340819476,0.09097983688116074,1.9584840536117554,1.9573751430510287,1.9760480545982724,0.1765967929719072,nan,nan,0.3108918368816376,0.1480865478515625
2,higher_diversity,0,0.664,shuffled,ite_expansion,96,2,2,1,0,2.0,0.578125,0.6145833333333334,1.6588283112346363,1.7559518859128518,2.1182418523455406,0.03183583915233612,2.0864062309265137,1.965248387608067,2.284328595999746,0.6246556053821534,nan,nan,0.19712528586387634,0.8574292063713074
2,higher_diversity,0,0.664,shuffled,majority_duality,96,2,2,1,0,2.0,0.5677083333333334,0.5729166666666666,2.580780508917523,1.2003352464300072,0.4576988972921862,0.016454871743917465,0.441243976354599,2.011611203316781,1.2624246987023438,0.20176057831550143,nan,nan,0.6336597204208374,0.38426709175109863
2,higher_diversity,0,0.664,shuffled,nary_and_hexagon,96,6,6,1,0,6.0,0.5833333333333334,0.6666666666666666,0.842210713460168,2.1541591522842567,2.232163342942387,0.14946019649505615,2.082703113555908,2.0176308617955496,2.0920248652789235,0.18144069121726134,nan,nan,0.4005148410797119,0.48204293847084045
2,higher_diversity,0,0.664,identity,associativity_pentagon,96,5,8,1,1,5.0,0.5979166666666667,0.6354166666666666,0.5110397091845367,0.5110397082931291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9612311472102208,0.5901512503623962,0.6971271634101868
2,higher_diversity,0,0.664,identity,commutativity_cube,96,8,24,6,5,4.0,0.5833333333333334,0.3541666666666667,0.6087520100366032,0.6087520098258803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4499107316894346,0.4885057806968689,0.7618271708488464
2,higher_diversity,0,0.664,identity,commutativity_involution,96,2,2,1,0,2.0,0.6614583333333334,0.6979166666666666,1.1309818007210202,1.1309817977933971,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.27168840169906616,0.8151443004608154
2,higher_diversity,0,0.664,identity,demorgan_and_square,96,4,4,1,0,4.0,0.546875,0.4791666666666667,1.647021485892588,1.6470214780350039,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.023536477237939835,0.39346227049827576
2,higher_diversity,0,0.664,identity,demorgan_or_square,96,4,4,1,0,4.0,0.5598958333333334,0.40625,1.6041800680900327,1.6041800627520597,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.04135240614414215,0.3700424134731293
2,higher_diversity,0,0.664,identity,distributivity_diamond,96,4,5,2,1,3.0,0.5651041666666666,0.3854166666666667,1.2381024391265898,1.238102436770128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4720065197334977,0.20731154084205627,0.8367007374763489
2,higher_diversity,0,0.664,identity,double_negation,96,2,2,1,0,2.0,0.5364583333333334,0.40625,2.5001001258335673,2.500100124058302,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.19883251190185547,0.644559383392334
2,higher_diversity,0,0.664,identity,exact1_hexagon,96,6,6,1,0,6.0,0.5416666666666666,0.2604166666666667,0.9678607590845846,0.9678607573916661,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.3108918368816376,0.1480865478515625
2,higher_diversity,0,0.664,identity,ite_expansion,96,2,2,1,0,2.0,0.578125,0.6145833333333334,1.6588283112346363,1.6588283123098868,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.19712528586387634,0.8574292063713074
2,higher_diversity,0,0.664,identity,majority_duality,96,2,2,1,0,2.0,0.5677083333333334,0.5729166666666666,2.580780508917523,2.5807805119167675,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.6336597204208374,0.38426709175109863
2,higher_diversity,0,0.664,identity,nary_and_hexagon,96,6,6,1,0,6.0,0.5833333333333334,0.6666666666666666,0.842210713460168,0.8422107128027723,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.4005148410797119,0.48204293847084045
2,higher_diversity,1,0.6705000000000001,fitted,associativity_pentagon,96,5,8,1,1,5.0,0.58125,0.59375,0.46733263051869206,0.5233772280562753,0.4940369486510046,0.06721895188093185,0.42681798338890076,1.6739462579867006,0.43290870308101326,0.30618004498786866,0.09856220040191209,1.0998717206085586,0.5972118377685547,0.8221036195755005
2,higher_diversity,1,0.6705000000000001,fitted,commutativity_cube,96,8,24,6,5,4.0,0.5885416666666666,0.375,0.5816812315572009,0.6510717905372042,0.47192570935322825,0.03737986087799072,0.4345458745956421,1.6105026673033376,0.4244933191801508,0.26914759710710684,0.1761297961359472,1.444388547854923,0.4971105754375458,0.8328781127929688
2,higher_diversity,1,0.6705000000000001,fitted,commutativity_involution,96,2,2,1,0,2.0,0.7291666666666666,0.6875,1.1320125522661117,1.2033044047032595,0.5976921725459938,0.01887979730963707,0.5788123607635498,1.72887522521885,0.5802862936819517,0.4088124952317096,nan,nan,0.2399233877658844,0.8709508776664734
2,higher_diversity,1,0.6705000000000001,fitted,demorgan_and_square,96,4,4,1,0,4.0,0.5286458333333334,0.4895833333333333,1.4742904050490195,0.867636607508611,0.242488595296512,0.015310906805098057,0.2271776795387268,1.8839935565329793,0.8128348815733433,0.08317198370025039,nan,nan,0.05830497294664383,0.43472322821617126
2,higher_diversity,1,0.6705000000000001,fitted,demorgan_or_square,96,4,4,1,0,4.0,0.4739583333333333,0.1875,1.473795595596507,1.067672153023603,0.8543756706290837,0.5209545493125916,0.33342114090919495,1.9454077057233656,0.871981320542121,0.2169249757870267,nan,nan,0.06398860365152359,0.5310502648353577
2,higher_diversity,1,0.6705000000000001,fitted,distributivity_diamond,96,4,5,2,1,3.0,0.6119791666666666,0.4166666666666667,1.0555290105874393,1.0239016176379816,0.5054952154455961,0.029506366699934006,0.47598883509635925,1.7236620731917647,0.48640254974407404,0.21722284962949642,0.6594189637677345,1.0729983813809263,0.2670125663280487,0.9091486930847168
2,higher_diversity,1,0.6705000000000001,fitted,double_negation,96,2,2,1,0,2.0,0.578125,0.4895833333333333,2.339349563142859,1.2789474387872801,1.121539778041989,0.015146331861615181,1.1063934564590454,1.7051562340493656,1.2762900267788544,0.44863066670669066,nan,nan,0.17253972589969635,0.6715205311775208
2,higher_diversity,1,0.6705000000000001,fitted,exact1_hexagon,96,6,6,1,0,6.0,0.5625,0.3854166666666667,0.6775419113771314,0.7643146345568148,1.3414863850389236,0.06913365423679352,1.2723528146743774,1.8813928016288333,1.2759451113350746,0.27420667078934996,nan,nan,0.6319129467010498,0.1786515861749649
2,higher_diversity,1,0.6705000000000001,fitted,ite_expansion,96,2,2,1,0,2.0,0.5625,0.5833333333333334,1.6322874790715562,1.3543769502134577,0.6337149737988916,0.012415115721523762,0.6212998628616333,1.7830836467248092,0.6760166941116096,0.29316461991768983,nan,nan,0.08999225497245789,0.8956432342529297
