architecture_layers,condition,seed,train_size,step,train_loss,validation_loss,validation_accuracy
4,low_diversity,0,512,1750,2.273063577740686e-05,3.032832824707031,0.689
4,low_diversity,0,512,2000,1.8602496369567233e-05,3.0969415893554686,0.689
4,low_diversity,1,512,1,0.7275930643081665,0.7209100341796875,0.495
4,low_diversity,1,512,250,0.14640094567165943,2.274216613769531,0.686
4,low_diversity,1,512,500,0.00012944737085490487,2.528529602050781,0.685
4,low_diversity,1,512,750,6.853000618866645e-05,2.6914921264648437,0.683
4,low_diversity,1,512,1000,4.525241399824154e-05,2.8160574951171875,0.681
4,low_diversity,1,512,1250,3.29552976982086e-05,2.918804870605469,0.681
4,low_diversity,1,512,1500,2.5363507840665988e-05,3.0064189453125,0.682
4,low_diversity,1,512,1750,2.0219145517330618e-05,3.083348388671875,0.682
4,low_diversity,1,512,2000,1.6509556327946483e-05,3.1527520751953126,0.683
4,low_diversity,2,512,1,0.8117895722389221,0.7034975128173828,0.462
4,low_diversity,2,512,250,0.16356538183090744,2.5314768371582033,0.658
4,low_diversity,2,512,500,0.00013241804647259414,2.7761904907226564,0.658
4,low_diversity,2,512,750,7.425179283018223e-05,2.935617492675781,0.657
4,low_diversity,2,512,1000,5.058007985644508e-05,3.0566511840820314,0.657
4,low_diversity,2,512,1250,3.7515414456720465e-05,3.155804870605469,0.656
4,low_diversity,2,512,1500,2.921087837603409e-05,3.2411568603515626,0.657
4,low_diversity,2,512,1750,2.346482697612373e-05,3.3169226684570314,0.659
4,low_diversity,2,512,2000,1.925608314923011e-05,3.3857301025390627,0.659
4,higher_diversity,0,12000,1,0.739332377910614,0.7109829864501953,0.515
4,higher_diversity,0,12000,250,0.5445280842781067,0.4947760391235352,0.729
4,higher_diversity,0,12000,500,0.4340401734113693,0.46711714172363283,0.726
4,higher_diversity,0,12000,750,0.34847511172294615,0.5090439605712891,0.725
4,higher_diversity,0,12000,1000,0.24527131408452987,0.7685518798828125,0.724
4,higher_diversity,0,12000,1250,0.1458035506606102,1.1177983093261719,0.724
4,higher_diversity,0,12000,1500,0.0777143003642559,1.3717946472167968,0.722
4,higher_diversity,0,12000,1750,0.044569675447419285,1.6152113647460937,0.714
4,higher_diversity,0,12000,2000,0.029856016064994037,1.6216663513183593,0.72
4,higher_diversity,1,12000,1,0.7264570593833923,0.7269810485839844,0.5
4,higher_diversity,1,12000,250,0.5320279990434646,0.4823911361694336,0.723
4,higher_diversity,1,12000,500,0.4321160589456558,0.4973817672729492,0.725
4,higher_diversity,1,12000,750,0.36364580488204956,0.544311996459961,0.729
4,higher_diversity,1,12000,1000,0.27444691932201387,0.7918972625732422,0.732
4,higher_diversity,1,12000,1250,0.1901064590215683,0.9499717407226562,0.733
4,higher_diversity,1,12000,1500,0.11283908006548882,1.2876412200927734,0.741
4,higher_diversity,1,12000,1750,0.06249883198738098,1.4656248474121094,0.726
4,higher_diversity,1,12000,2000,0.03853941566497088,1.5460709228515626,0.73
4,higher_diversity,2,12000,1,0.7951269149780273,0.7031974639892579,0.468
4,higher_diversity,2,12000,250,0.5430732345581055,0.5226700286865235,0.709
4,higher_diversity,2,12000,500,0.4396437796354294,0.4954274368286133,0.703
4,higher_diversity,2,12000,750,0.3552473953962326,0.5880411453247071,0.709
4,higher_diversity,2,12000,1000,0.25611873269081115,0.862437484741211,0.72
4,higher_diversity,2,12000,1250,0.16147659739851952,1.1245496978759766,0.716
4,higher_diversity,2,12000,1500,0.0919718969836831,1.3736565551757813,0.732
4,higher_diversity,2,12000,1750,0.0556529082134366,1.4631221618652344,0.72
4,higher_diversity,2,12000,2000,0.035767622496932744,1.6385256958007812,0.721
6,low_diversity,0,512,1,0.7539481520652771,0.7905498962402344,0.5
6,low_diversity,0,512,250,0.14654190312640275,2.2018452758789064,0.699
6,low_diversity,0,512,500,0.00013974131501163356,2.418606018066406,0.696
6,low_diversity,0,512,750,8.0142458435148e-05,2.564833923339844,0.7
6,low_diversity,0,512,1000,5.472130711132195e-05,2.6773418579101564,0.701
6,low_diversity,0,512,1250,4.0472368113114496e-05,2.7703258666992188,0.7
6,low_diversity,0,512,1500,3.135311087680748e-05,2.8502493286132813,0.7
6,low_diversity,0,512,1750,2.503159156185575e-05,2.921045227050781,0.701
6,low_diversity,0,512,2000,2.0409080316312612e-05,2.9849417114257815,0.701
