architecture_layers,condition,seed,train_size,rewrite,count,identity_error,transport_error,cka,activation_variance
2,higher_diversity,0,12000,majority_duality_inverse,96,2.500321388244629,0.9699091911315918,0.1802114099264145,0.39462313055992126
2,higher_diversity,0,12000,swap_exact1_12,96,1.0824085474014282,1.2129583358764648,0.3173562288284302,0.16759823262691498
2,higher_diversity,0,12000,swap_exact1_23,96,0.8571053743362427,1.0717496871948242,0.40897005796432495,0.1963653564453125
2,higher_diversity,1,12000,commute_and,96,1.149792194366455,1.2121739387512207,0.2726146876811981,0.7794424891471863
2,higher_diversity,1,12000,double_negation_expand,96,2.434295892715454,1.1444381475448608,0.29564839601516724,0.6719163060188293
2,higher_diversity,1,12000,double_negation_reduce,96,2.4244673252105713,1.2296562194824219,0.17071989178657532,0.711785614490509
2,higher_diversity,1,12000,commute_and_under_not,96,0.8511593341827393,0.9029850363731384,0.598767101764679,0.10263518244028091
2,higher_diversity,1,12000,demorgan_and,96,2.2363646030426025,0.8427790999412537,0.32784202694892883,0.41220736503601074
2,higher_diversity,1,12000,commute_or,96,1.325310230255127,1.4595593214035034,0.21701431274414062,0.44157668948173523
2,higher_diversity,1,12000,demorgan_and_inverse,96,2.1500306129455566,0.8910496234893799,0.3454866111278534,0.4107632637023926
2,higher_diversity,1,12000,commute_or_under_not,96,0.8755812048912048,0.9037662744522095,0.534533679485321,0.17752552032470703
2,higher_diversity,1,12000,demorgan_or,96,2.1441609859466553,0.9256559610366821,0.24344702064990997,0.4948631525039673
2,higher_diversity,1,12000,demorgan_or_inverse,96,2.0841867923736572,0.8949782848358154,0.2630113661289215,0.5097172856330872
2,higher_diversity,1,12000,associate_and_right,96,0.5945351719856262,0.647639811038971,0.6124881505966187,0.6884060502052307
2,higher_diversity,1,12000,associate_and_left,96,0.5367194414138794,0.5874249339103699,0.5371421575546265,0.7221298813819885
2,higher_diversity,1,12000,swap_and3_12,96,1.2082993984222412,1.3472110033035278,0.17390668392181396,0.38610708713531494
2,higher_diversity,1,12000,swap_and3_23,96,0.681007444858551,0.7641108632087708,0.49680522084236145,0.5801404118537903
2,higher_diversity,1,12000,commute_and_in_context,96,0.531080424785614,0.6180459260940552,0.5634751915931702,0.830845832824707
