architecture_layers,condition,seed,train_size,ood_accuracy_mean,family,diagram_count,vertices_per_diagram,edges_per_diagram,loops_per_diagram,path_pairs_per_diagram,mean_loop_length,semantic_accuracy,prediction_consistency,identity_error,transport_error,holonomy_error,path_agreement_error,path_endpoint_error,edge_cka,activation_variance
2,higher_diversity,2,12000,0.652,commutativity_cube,96,8,24,6,5,4.0,0.5221354166666666,0.3541666666666667,0.592670928715858,0.6501025857808821,0.38895345598911485,0.11603950711904894,1.4198572346587672,0.4902031123638153,0.7799415588378906
2,higher_diversity,2,12000,0.652,commutativity_involution,96,2,2,1,0,2.0,0.6770833333333334,0.625,1.1477949668306062,1.2070681423276999,0.6444911682899963,nan,nan,0.2374630570411682,0.8517241477966309
2,higher_diversity,2,12000,0.652,demorgan_and_square,96,4,4,1,0,4.0,0.53125,0.3541666666666667,1.5025530151234212,0.9021803316720352,0.5924671211319505,nan,nan,0.052781932055950165,0.3185522258281708
2,higher_diversity,2,12000,0.652,demorgan_or_square,96,4,4,1,0,4.0,0.4973958333333333,0.2708333333333333,1.398622581920839,1.1004673418468418,0.48651170131777005,nan,nan,0.08815564215183258,0.47295883297920227
2,higher_diversity,2,12000,0.652,distributivity_diamond,96,4,5,2,1,3.0,0.6458333333333334,0.3854166666666667,1.2952494673904662,1.012518927060212,0.5570236825766589,0.7216794099083516,1.0054789238974984,0.1856539398431778,0.8480485081672668
2,higher_diversity,2,12000,0.652,double_negation,96,2,2,1,0,2.0,0.5989583333333334,0.4270833333333333,2.355940628096147,1.2370781086590972,0.970951106162373,nan,nan,0.168288454413414,0.6821152567863464
2,higher_diversity,2,12000,0.652,exact1_hexagon,96,6,6,1,0,6.0,0.5538194444444444,0.4166666666666667,0.8376652410251464,0.9345551699413632,0.8969364905501539,nan,nan,0.3912559747695923,0.15232808887958527
2,higher_diversity,2,12000,0.652,ite_expansion,96,2,2,1,0,2.0,0.5364583333333334,0.59375,1.9091307929269807,1.3225176228138469,0.8395933624212115,nan,nan,0.23270326852798462,0.6837377548217773
2,higher_diversity,2,12000,0.652,majority_duality,96,2,2,1,0,2.0,0.5677083333333334,0.4479166666666667,1.9921400542230738,1.1406149369749712,0.37325941404612534,nan,nan,0.3655529320240021,0.4280621111392975
2,higher_diversity,2,12000,0.652,nary_and_hexagon,96,6,6,1,0,6.0,0.5763888888888888,0.6666666666666666,0.9500734590093254,1.0693012800547277,1.1498356669828385,nan,nan,0.30491340160369873,0.48914629220962524
4,low_diversity,0,512,0.6465000000000001,associativity_pentagon,96,5,8,1,1,5.0,0.5729166666666666,0.75,0.4872598744800118,0.49953150829326826,0.1623550524164725,0.02290420159390248,0.7946172008187894,0.5867392420768738,0.7397706508636475
4,low_diversity,0,512,0.6465000000000001,commutativity_cube,96,8,24,6,5,4.0,0.51171875,0.4583333333333333,0.8269788528352006,0.8495960321423927,0.1613825861341623,0.05148315638575518,1.6041094035160879,0.33791622519493103,0.6452601552009583
4,low_diversity,0,512,0.6465000000000001,commutativity_involution,96,2,2,1,0,2.0,0.6302083333333334,0.6770833333333334,1.3611281040416494,1.3736334435891149,0.16669235736263363,nan,nan,0.10035069286823273,0.8524634838104248
4,low_diversity,0,512,0.6465000000000001,demorgan_and_square,96,4,4,1,0,4.0,0.4739583333333333,0.07291666666666667,1.8066019676291494,0.5758031459094128,0.42251283652852406,nan,nan,0.005462372209876776,0.9766883254051208
4,low_diversity,0,512,0.6465000000000001,demorgan_or_square,96,4,4,1,0,4.0,0.4244791666666667,0.40625,1.3904613204143363,1.1719184335073203,0.25155217380066264,nan,nan,0.08842849731445312,0.8390008807182312
4,low_diversity,0,512,0.6465000000000001,distributivity_diamond,96,4,5,2,1,3.0,0.5625,0.3020833333333333,1.5198218677907214,0.9420969236368534,0.15741747896933378,0.2466817903100835,1.0720782708794134,0.065080925822258,0.9777777194976807
4,low_diversity,0,512,0.6465000000000001,double_negation,96,2,2,1,0,2.0,0.5,0.375,2.374298081355276,1.7260382642480145,2.0098679323533504,nan,nan,0.07320917397737503,0.9797391891479492
4,low_diversity,0,512,0.6465000000000001,exact1_hexagon,96,6,6,1,0,6.0,0.4982638888888889,0.25,1.1955267618428038,1.2272397528937498,0.429422845882589,nan,nan,0.15210792422294617,0.8973548412322998
4,low_diversity,0,512,0.6465000000000001,ite_expansion,96,2,2,1,0,2.0,0.5625,0.4791666666666667,1.9786446636681025,1.3652672122907445,0.4778298590030236,nan,nan,0.01459344569593668,0.9360944628715515
4,low_diversity,0,512,0.6465000000000001,majority_duality,96,2,2,1,0,2.0,0.4895833333333333,0.4166666666666667,2.392920706341977,1.0706548344507627,0.17191538332500395,nan,nan,0.08829911053180695,0.8935394287109375
4,low_diversity,0,512,0.6465000000000001,nary_and_hexagon,96,6,6,1,0,6.0,0.5347222222222222,0.7916666666666666,1.3555118961502448,1.4296373546218422,1.1463169555793442,nan,nan,0.07434593141078949,0.25227150321006775
4,low_diversity,1,512,0.639,associativity_pentagon,96,5,8,1,1,5.0,0.5791666666666667,0.6354166666666666,0.4745276708097357,0.49840983320944354,0.3998403707218298,0.057949422960733965,0.8275860829880265,0.5989127159118652,0.9147908687591553
4,low_diversity,1,512,0.639,commutativity_cube,96,8,24,6,5,4.0,0.59375,0.4479166666666667,0.616087691130183,0.655151804281579,0.29410894493739415,0.09583633922299645,1.4311076817093469,0.4759412109851837,0.7885103821754456
4,low_diversity,1,512,0.639,commutativity_involution,96,2,2,1,0,2.0,0.609375,0.59375,1.3654508691340599,1.386650704587979,0.26789592277137736,nan,nan,0.09826578944921494,0.9498608112335205
4,low_diversity,1,512,0.639,demorgan_and_square,96,4,4,1,0,4.0,0.5286458333333334,0.041666666666666664,1.8726243008687469,0.33955678092463154,0.1875345956005247,nan,nan,0.002021414926275611,0.9725112318992615
4,low_diversity,1,512,0.639,demorgan_or_square,96,4,4,1,0,4.0,0.4765625,0.09375,1.7455831275039915,0.8625080274620913,0.32950306523280126,nan,nan,0.010872764512896538,0.9410284161567688
4,low_diversity,1,512,0.639,distributivity_diamond,96,4,5,2,1,3.0,0.5625,0.3229166666666667,1.441587729802079,1.1236451412831816,0.32438121151120647,0.34451928232114865,1.152555457811448,0.07905951887369156,0.8891646862030029
4,low_diversity,1,512,0.639,double_negation,96,2,2,1,0,2.0,0.5729166666666666,0.4791666666666667,2.1717269047727776,1.637300315243543,0.8864256125794953,nan,nan,0.026599619537591934,0.9700787663459778
4,low_diversity,1,512,0.639,exact1_hexagon,96,6,6,1,0,6.0,0.5399305555555556,0.28125,1.0242438911247604,1.0707684138150335,0.5425558055744212,nan,nan,0.23157508671283722,0.8807775974273682
4,low_diversity,1,512,0.639,ite_expansion,96,2,2,1,0,2.0,0.5677083333333334,0.46875,2.0967188721220817,1.5833355168545902,1.029582515628869,nan,nan,0.03238324448466301,0.9186599850654602
4,low_diversity,1,512,0.639,majority_duality,96,2,2,1,0,2.0,0.484375,0.5104166666666666,2.407173394175346,0.9584680537666338,0.345925312528715,nan,nan,0.1742251068353653,0.7492092251777649
4,low_diversity,1,512,0.639,nary_and_hexagon,96,6,6,1,0,6.0,0.5104166666666666,0.8541666666666666,1.3766829751846017,1.46450856059449,1.4794949742466807,nan,nan,0.05142701417207718,0.15840592980384827
4,low_diversity,2,512,0.6305000000000001,associativity_pentagon,96,5,8,1,1,5.0,0.55625,0.6041666666666666,0.8160731759611597,0.846879988126109,0.3397480455806715,0.07770418325477227,1.3849732148884288,0.3338853418827057,0.7685598731040955
4,low_diversity,2,512,0.6305000000000001,commutativity_cube,96,8,24,6,5,4.0,0.5703125,0.3958333333333333,0.7848835633251005,0.81914930726472,0.28399361966919107,0.09819788836041422,1.8839672667982803,0.370760053396225,0.8161996006965637
4,low_diversity,2,512,0.6305000000000001,commutativity_involution,96,2,2,1,0,2.0,0.5729166666666666,0.6875,1.3204251897736266,1.3511548675632625,0.2727494819852062,nan,nan,0.11932191997766495,0.8819546699523926
4,low_diversity,2,512,0.6305000000000001,demorgan_and_square,96,4,4,1,0,4.0,0.46875,0.052083333333333336,1.8920213102862409,0.5357923786663897,0.9005764825815431,nan,nan,0.0015506811905652285,0.9792675375938416
4,low_diversity,2,512,0.6305000000000001,demorgan_or_square,96,4,4,1,0,4.0,0.4296875,0.4375,1.3563862218711171,1.3813620422083523,1.1436738040655035,nan,nan,0.10092896968126297,0.7883972525596619
4,low_diversity,2,512,0.6305000000000001,distributivity_diamond,96,4,5,2,1,3.0,0.546875,0.19791666666666666,1.7475722819566053,1.0468442320440812,0.2344187829393103,0.3013649015140342,1.0710133877202646,0.01882397010922432,0.9622435569763184
