architecture_layers,condition,seed,train_size,split,depth,root_operator,count,accuracy,balanced_accuracy
2,low_diversity,2,512,ood,5,EXACT1_3,62,0.5483870967741935,0.5523504273504274
2,low_diversity,2,512,ood,5,ITE3,79,0.5189873417721519,0.5540816326530612
2,low_diversity,2,512,ood,5,MAJ3,62,0.5967741935483871,0.5583783783783784
2,low_diversity,2,512,ood,5,NOT,63,0.5714285714285714,0.5680443548387097
2,low_diversity,2,512,ood,5,OR,71,0.6901408450704225,0.48785425101214575
2,low_diversity,2,512,ood,5,OR3,60,0.85,0.5961538461538461
2,low_diversity,2,512,ood,5,OR4,76,0.868421052631579,0.4647887323943662
2,low_diversity,2,512,ood,5,XOR,76,0.4868421052631579,0.4861111111111111
2,low_diversity,2,512,ood,5,XOR3,62,0.532258064516129,0.5306878306878307
2,low_diversity,2,512,ood,5,XOR4,82,0.5,0.49821109123434704
2,higher_diversity,0,12000,id,3,AND,78,0.7564102564102564,0.6083333333333333
2,higher_diversity,0,12000,id,3,AND3,74,0.8243243243243243,0.6178571428571429
2,higher_diversity,0,12000,id,3,AND4,69,0.927536231884058,0.6439393939393939
2,higher_diversity,0,12000,id,3,ATLEAST2_4,81,0.8148148148148148,0.7960526315789473
2,higher_diversity,0,12000,id,3,EXACT1_3,69,0.5362318840579711,0.5154545454545455
2,higher_diversity,0,12000,id,3,ITE3,82,0.6097560975609756,0.6089285714285715
2,higher_diversity,0,12000,id,3,MAJ3,74,0.6756756756756757,0.6742424242424242
2,higher_diversity,0,12000,id,3,NOT,52,0.6730769230769231,0.6730769230769231
2,higher_diversity,0,12000,id,3,OR,61,0.8524590163934426,0.8006097560975609
2,higher_diversity,0,12000,id,3,OR3,66,0.8333333333333334,0.6695906432748537
2,higher_diversity,0,12000,id,3,OR4,76,0.9473684210526315,0.7428571428571429
2,higher_diversity,0,12000,id,3,XOR,72,0.5694444444444444,0.5688854489164087
2,higher_diversity,0,12000,id,3,XOR3,69,0.4927536231884058,0.5103448275862069
2,higher_diversity,0,12000,id,3,XOR4,77,0.5844155844155844,0.5850202429149798
2,higher_diversity,0,12000,ood,5,AND,84,0.75,0.6247327156094085
2,higher_diversity,0,12000,ood,5,AND3,88,0.7954545454545454,0.5376967688483844
2,higher_diversity,0,12000,ood,5,AND4,72,0.8333333333333334,0.46153846153846156
2,higher_diversity,0,12000,ood,5,ATLEAST2_4,63,0.5873015873015873,0.5881374722838137
2,higher_diversity,0,12000,ood,5,EXACT1_3,62,0.5483870967741935,0.530982905982906
2,higher_diversity,0,12000,ood,5,ITE3,79,0.5063291139240507,0.5244897959183673
2,higher_diversity,0,12000,ood,5,MAJ3,62,0.5645161290322581,0.5443243243243243
2,higher_diversity,0,12000,ood,5,NOT,63,0.6825396825396826,0.6784274193548387
2,higher_diversity,0,12000,ood,5,OR,71,0.6197183098591549,0.4898785425101215
2,higher_diversity,0,12000,ood,5,OR3,60,0.8666666666666667,0.7644230769230769
2,higher_diversity,0,12000,ood,5,OR4,76,0.8421052631578947,0.4507042253521127
2,higher_diversity,0,12000,ood,5,XOR,76,0.5657894736842105,0.5638888888888889
2,higher_diversity,0,12000,ood,5,XOR3,62,0.5161290322580645,0.491005291005291
2,higher_diversity,0,12000,ood,5,XOR4,82,0.5365853658536586,0.5438282647584973
2,higher_diversity,1,12000,id,3,AND,78,0.7948717948717948,0.6527777777777778
2,higher_diversity,1,12000,id,3,AND3,74,0.8243243243243243,0.6726190476190476
2,higher_diversity,1,12000,id,3,AND4,69,0.9710144927536232,0.8257575757575757
2,higher_diversity,1,12000,id,3,ATLEAST2_4,81,0.7901234567901234,0.7664473684210527
2,higher_diversity,1,12000,id,3,EXACT1_3,69,0.5942028985507246,0.5436363636363637
2,higher_diversity,1,12000,id,3,ITE3,82,0.5365853658536586,0.5351190476190476
2,higher_diversity,1,12000,id,3,MAJ3,74,0.6756756756756757,0.668939393939394
2,higher_diversity,1,12000,id,3,NOT,52,0.5576923076923077,0.5576923076923077
2,higher_diversity,1,12000,id,3,OR,61,0.8688524590163934,0.8768292682926829
2,higher_diversity,1,12000,id,3,OR3,66,0.8787878787878788,0.8362573099415205
2,higher_diversity,1,12000,id,3,OR4,76,0.9210526315789473,0.7285714285714286
2,higher_diversity,1,12000,id,3,XOR,72,0.6111111111111112,0.6130030959752322
2,higher_diversity,1,12000,id,3,XOR3,69,0.4927536231884058,0.4866379310344828
2,higher_diversity,1,12000,id,3,XOR4,77,0.4935064935064935,0.492914979757085
2,higher_diversity,1,12000,ood,5,AND,84,0.7261904761904762,0.635424091233072
2,higher_diversity,1,12000,ood,5,AND3,88,0.7613636363636364,0.5836785418392709
2,higher_diversity,1,12000,ood,5,AND4,72,0.8472222222222222,0.532967032967033
2,higher_diversity,1,12000,ood,5,ATLEAST2_4,63,0.6825396825396826,0.6402439024390244
2,higher_diversity,1,12000,ood,5,EXACT1_3,62,0.5967741935483871,0.5566239316239316
2,higher_diversity,1,12000,ood,5,ITE3,79,0.6075949367088608,0.6255102040816326
2,higher_diversity,1,12000,ood,5,MAJ3,62,0.6774193548387096,0.6454054054054055
2,higher_diversity,1,12000,ood,5,NOT,63,0.6349206349206349,0.6370967741935484
2,higher_diversity,1,12000,ood,5,OR,71,0.7323943661971831,0.6837044534412955
2,higher_diversity,1,12000,ood,5,OR3,60,0.8333333333333334,0.7451923076923077
2,higher_diversity,1,12000,ood,5,OR4,76,0.9078947368421053,0.5788732394366197
2,higher_diversity,1,12000,ood,5,XOR,76,0.5131578947368421,0.5166666666666667
2,higher_diversity,1,12000,ood,5,XOR3,62,0.4838709677419355,0.4666666666666667
2,higher_diversity,1,12000,ood,5,XOR4,82,0.5365853658536586,0.5438282647584973
2,higher_diversity,2,12000,id,3,AND,78,0.7564102564102564,0.6277777777777778
2,higher_diversity,2,12000,id,3,AND3,74,0.8243243243243243,0.7
2,higher_diversity,2,12000,id,3,AND4,69,0.8840579710144928,0.4621212121212121
2,higher_diversity,2,12000,id,3,ATLEAST2_4,81,0.6666666666666666,0.6425438596491229
2,higher_diversity,2,12000,id,3,EXACT1_3,69,0.5797101449275363,0.515
2,higher_diversity,2,12000,id,3,ITE3,82,0.6219512195121951,0.618452380952381
2,higher_diversity,2,12000,id,3,MAJ3,74,0.7027027027027027,0.7075757575757575
2,higher_diversity,2,12000,id,3,NOT,52,0.5961538461538461,0.5961538461538461
2,higher_diversity,2,12000,id,3,OR,61,0.8524590163934426,0.8134146341463415
2,higher_diversity,2,12000,id,3,OR3,66,0.8939393939393939,0.7514619883040936
2,higher_diversity,2,12000,id,3,OR4,76,0.9342105263157895,0.6595238095238095
2,higher_diversity,2,12000,id,3,XOR,72,0.5694444444444444,0.5719814241486068
2,higher_diversity,2,12000,id,3,XOR3,69,0.4927536231884058,0.505603448275862
2,higher_diversity,2,12000,id,3,XOR4,77,0.5714285714285714,0.5732118758434548
2,higher_diversity,2,12000,ood,5,AND,84,0.6666666666666666,0.5673556664290805
2,higher_diversity,2,12000,ood,5,AND3,88,0.7386363636363636,0.48011599005799505
2,higher_diversity,2,12000,ood,5,AND4,72,0.9027777777777778,0.5
2,higher_diversity,2,12000,ood,5,ATLEAST2_4,63,0.5555555555555556,0.5110864745011087
2,higher_diversity,2,12000,ood,5,EXACT1_3,62,0.532258064516129,0.4903846153846154
2,higher_diversity,2,12000,ood,5,ITE3,79,0.5316455696202531,0.49965986394557826
2,higher_diversity,2,12000,ood,5,MAJ3,62,0.5645161290322581,0.5572972972972974
2,higher_diversity,2,12000,ood,5,NOT,63,0.5555555555555556,0.5579637096774194
2,higher_diversity,2,12000,ood,5,OR,71,0.704225352112676,0.5809716599190283
2,higher_diversity,2,12000,ood,5,OR3,60,0.85,0.7548076923076923
2,higher_diversity,2,12000,ood,5,OR4,76,0.9078947368421053,0.4859154929577465
2,higher_diversity,2,12000,ood,5,XOR,76,0.5263157894736842,0.5222222222222221
